university,program,rating,period_of_study,Start_of_studies,Diploma,language,Total_costs,location,program_link
University of Leoben,International Sustainable Materials (M.Sc.),,4 semesters,Winter semester,"Master of Science
                                                                    Degree is awarded by: Montanuniverstität Leoben",German English,,Leoben,https://www.studycheck.de/studium/sustainable-design/uni-leoben-31586
University of Leoben,Plastics Engineering (M.Sc.),4.3,4 semesters,Winter semester,Master of Science,German,,Leoben,https://www.studycheck.de/studium/kunststofftechnik/uni-leoben-30908
University of Leoben,Materials Science and Technology (B.Sc.),4.2,7 semesters,Winter semester,Bachelor of Science,German,,Leoben,https://www.studycheck.de/studium/werkstoffwissenschaft/uni-leoben-30091
University of Leoben,Metallurgy (Diploma),4.1,4 semesters,Winter semester,"diploma
                                                                    Degree is awarded by: Montanuniverstität Leoben",German,,Leoben,https://www.studycheck.de/studium/metallurgie/uni-leoben-31583
University of Leoben,Metallurgie und Metallkreisläufe (B.Sc.),4.2,,,,,,,https://www.studycheck.de/studium/metallurgie/uni-leoben-30069
University of Leoben,Montanmaschinenbau (B.Sc.),4.0,,,,,,,https://www.studycheck.de/studium/maschinenbau/uni-leoben-30092
University of Leoben,Mining Mechanical Engineering (Master),4.2,4 semesters,Winter semester,master,German,,Leoben,https://www.studycheck.de/studium/maschinenbau/uni-leoben-30099
University of Leoben,Petroleum Engineering (Master),3.9,4 semesters,Winter semester,master,German,,Leoben,https://www.studycheck.de/studium/energie-und-rohstoffe/uni-leoben-30101
University of Leoben,Recycling Technology (B.Sc.),3.9,7 semesters,Winter semester,Bachelor of Science,German,,Leoben,https://www.studycheck.de/studium/umwelt-und-recyclingtechnik/uni-leoben-30096
University of Leoben,Recycling Technology (M.Sc.),4.6,4 semesters,Summer & winter semester,Master of Science,German,,Leoben,https://www.studycheck.de/studium/umwelt-und-recyclingtechnik/uni-leoben-28899
University of Leoben,Responsible Consumption and Production (B.Sc.),,8 semesters,Winter semester,"Bachelor of Science
                                                                    Degree is awarded by: Montanuniverstität Leoben",German,,Leoben,https://www.studycheck.de/studium/produktionsmanagement/uni-leoben-31573
University of Leoben,Responsible Consumption and Production (M.Sc.),,4 semesters,Winter semester,"Master of Science
                                                                    Degree is awarded by: Montanuniverstität Leoben",German,,Leoben,https://www.studycheck.de/studium/produktionsmanagement/uni-leoben-31574
University of Leoben,Rohstoffgewinnung & Tunnelbau (Diplom),4.1,,,,,,,https://www.studycheck.de/studium/energie-und-rohstoffe/uni-leoben-31578
University of Leoben,Raw Materials Engineering (B.Sc.),3.9,7 semesters,Summer & winter semester,Bachelor of Science,German,,Leoben,https://www.studycheck.de/studium/rohstoffingenieur/uni-leoben-28881
University of Leoben,Raw material processing (diploma),,4 semesters,Winter semester,"diploma
                                                                    Degree is awarded by: Montanuniverstität Leoben",German,,Leoben,https://www.studycheck.de/studium/energie-und-rohstoffe/uni-leoben-31579
University of Leoben,Environmental and Climate Protection Technology (B.Sc.),4.0,7 semesters,Winter semester,Bachelor of Science,German,,Leoben,https://www.studycheck.de/studium/umweltschutz/uni-leoben-30095
University of Leoben,Environmental and Climate Protection Technology (Diploma),3.2,4 semesters,Summer & winter semester,"diploma
                                                                    Degree is awarded by: Montanuniverstität Leoben",German,,Leoben,https://www.studycheck.de/studium/klima-und-umweltwandel/uni-leoben-31588
University of Leoben,Materials Science (M.Sc.),4.2,4 semesters,Summer & winter semester,Master of Science,German,,Leoben,https://www.studycheck.de/studium/werkstoffwissenschaft/uni-leoben-28897
DAA Business Academy,BACHELORplus - International Business Management (BA),4.2,,Winter semester,,,,Dusseldorf,https://www.studycheck.de/studium/international-business-management/daa-20718
Catholic University of North Rhine-Westphalia,Applied Midwifery Science / Midwifery (B.Sc.),3.6,7 semesters,Winter semester,Bachelor of Science,German,,Cologne,https://www.studycheck.de/studium/hebammenwesen/katho-nrw-27081
Catholic University of North Rhine-Westphalia,Applied Nursing Science (B.Sc.),4.7,,Winter semester,Bachelor of Science,German,,Cologne,https://www.studycheck.de/studium/pflegewissenschaften/katho-nrw-26209
Catholic University of North Rhine-Westphalia,Applied Theology (BA),4.2,6 semesters,Winter semester,Bachelor of Arts,German,,Paderborn,https://www.studycheck.de/studium/theologie/katho-nrw-27082
Catholic University of North Rhine-Westphalia,"Marriage, Family and Life Counseling (Master)",4.7,8 semesters,Summer & winter semester,master,German,,"Cologne, Münster, Paderborn",https://www.studycheck.de/studium/ehe-familie-und-lebensberatung/katho-nrw-1338
Catholic University of North Rhine-Westphalia,Midwifery (B.Sc.),,4 semesters,Winter semester,Bachelor of Science,German,,Cologne,https://www.studycheck.de/studium/hebammenwesen/katho-nrw-19535
Catholic University of North Rhine-Westphalia,Special Education (MA),3.9,4 semesters,Winter semester,Master of Arts,German,,Muenster,https://www.studycheck.de/studium/heilpaedagogik/katho-nrw-7110
Catholic University of North Rhine-Westphalia,Special Education / Inclusive Education (BA),3.8,,,,,,,https://www.studycheck.de/studium/heilpaedagogik/katho-nrw-3595
Catholic University of North Rhine-Westphalia,Interreligious dialogue competence (MA),,6 semesters,Winter semester,"Master of Arts
                                                                    Degree is awarded by : Catholic University of North Rhine-Westphalia",German,"5,900 €¹",Cologne,https://www.studycheck.de/studium/interreligioese-studien/katho-nrw-22673
Catholic University of North Rhine-Westphalia,Childhood Education (BA),4.0,,,,,,,https://www.studycheck.de/studium/kindheitspaedagogik/katho-nrw-22818
Catholic University of North Rhine-Westphalia,Cooperation Management (MA),,5 semesters,Winter semester,Master of Arts,German,,Aachen,https://www.studycheck.de/studium/kooperationsmanagement/katho-nrw-10917
Catholic University of North Rhine-Westphalia,Nursing Management (B.Sc.),3.9,4 semesters,Winter semester,Bachelor of Science,German,,Cologne,https://www.studycheck.de/studium/pflegemanagement/katho-nrw-22872
Catholic University of North Rhine-Westphalia,Nursing Management (MA),,4 semesters,Winter semester,Master of Arts,German,,Cologne,https://www.studycheck.de/studium/pflegemanagement/katho-nrw-1322
Catholic University of North Rhine-Westphalia,Nursing Education (B.Sc.),4.1,4 semesters,Winter semester,Bachelor of Science,German,,Cologne,https://www.studycheck.de/studium/pflegepaedagogik/katho-nrw-14124
Catholic University of North Rhine-Westphalia,"Nursing Education (MA)
                                                            Teaching",3.9,4 semesters,Winter semester,Master of Arts,German,,Cologne,https://www.studycheck.de/studium/gesundheit-und-pflege/katho-nrw-1321
Catholic University of North Rhine-Westphalia,School Management (MA),,4 semesters,Winter semester,Master of Arts,German,,Cologne,https://www.studycheck.de/studium/schulleitungsmanagement/katho-nrw-6261
Catholic University of North Rhine-Westphalia,Social Work (BA),3.8,,,,,,,https://www.studycheck.de/studium/soziale-arbeit/katho-nrw-14123
Catholic University of North Rhine-Westphalia,Social Work (MA),2.3,,Winter semester,Master of Arts,German,,Aachen,https://www.studycheck.de/studium/soziale-arbeit/katho-nrw-7111
Catholic University of North Rhine-Westphalia,Social Management (MA),,5 semesters,Summer semester,Master of Arts,German,,"Münster, Paderborn",https://www.studycheck.de/studium/sozialmanagement/katho-nrw-10916
Catholic University of North Rhine-Westphalia,Addiction Help/Addiction Therapy (M.Sc.),3.7,6 semesters,Summer semester,Master of Science,German,,Cologne,https://www.studycheck.de/studium/suchthilfe/katho-nrw-11013
Catholic University of North Rhine-Westphalia,Supervision / Coaching (MA),,5 semesters,Summer & winter semester,Master of Arts,German,,Muenster,https://www.studycheck.de/studium/supervision/katho-nrw-11017
Brand University of Applied Sciences,Brand & Communication Design (BA),3.7,,,,,,,https://www.studycheck.de/studium/kommunikationsdesign/brand-uni-18436
Brand University of Applied Sciences,Brand & Marketing Management (BA),3.9,,,,,,,https://www.studycheck.de/studium/brand-management/brand-uni-5364
Brand University of Applied Sciences,Brand Strategy (MA),3.6,,Summer semester,,English,,Hamburg,https://www.studycheck.de/studium/brand-management/brand-uni-31643
Brand University of Applied Sciences,Brand Strategy - Brand Entrepreneurship (MA),,3 semesters,Summer & winter semester,"Master of Arts
                                                                    Degree awarded by: Brand University of Applied Sciences",English,"14,500 €¹",Hamburg,https://www.studycheck.de/studium/brand-management/brand-uni-32969
Brand University of Applied Sciences,Brand Strategy - Digital Branding (MA),,3 semesters,Summer & winter semester,"Master of Arts
                                                                    Degree awarded by: Brand University of Applied Sciences",English,"14,500 €¹",Hamburg,https://www.studycheck.de/studium/brand-design/brand-uni-32968
Brand University of Applied Sciences,Brand Strategy – Design Innovation (MA),3.3,,Summer & winter semester,,,,Hamburg,https://www.studycheck.de/studium/design/brand-uni-24041
VWA and Göttingen University of Applied Sciences,Business Administration (BA),4.1,6 semesters,Winter semester,"Bachelor of Arts
                                                                    Degree is awarded by: VWA and Berufsakademie Göttingen",German,"13,980 €¹",Goettingen,https://www.studycheck.de/studium/business-administration/vwa-goettingen-18087
VWA and Göttingen University of Applied Sciences,Business Administration with a focus on Health Care (BA),,6 semesters,Winter semester,"Bachelor of Arts
                                                                    Degree is awarded by: VWA and Berufsakademie Göttingen",German,"13,980 €¹",Goettingen,https://www.studycheck.de/studium/health-care-management/vwa-goettingen-18086
VWA and Göttingen University of Applied Sciences,Social Work (BA),3.7,6 semesters,Winter semester,"Bachelor of Arts
                                                                    Degree is awarded by: VWA and Berufsakademie Göttingen",German,"13,680 €¹",Goettingen,https://www.studycheck.de/studium/soziale-arbeit/vwa-goettingen-22688
SRH University of Health,Work and Organizational Psychology (M.Sc.),4.4,,Winter semester,Master of Science,German,,Gera,https://www.studycheck.de/studium/arbeits-und-organisationspsychologie/gera-fh-21178
SRH University of Health,Dental Hygienist (B.Sc.),,6 semesters,Winter semester,Bachelor of Science,German,"23,850 €¹",Leverkusen,https://www.studycheck.de/studium/zahnmedizin/gera-fh-23839
SRH University of Health,Nutritional therapy and nutritional counseling (B.Sc.),4.9,,Winter semester,Bachelor of Science,German,,Leverkusen,https://www.studycheck.de/studium/ernaehrungswissenschaften/gera-fh-21180
SRH University of Health,Health and Social Management (MA),,5 semesters,Winter semester,Master of Arts,German,"13,950 €¹",Gera,https://www.studycheck.de/studium/gesundheits-und-sozialmanagement/gera-fh-18912
SRH University of Health,Inclusive Childhood Education (0-12 years) (BA),3.3,4 semesters,Winter semester,Bachelor of Arts,German,"9,810 €¹",Gera,https://www.studycheck.de/studium/kindheitspaedagogik/gera-fh-24538
SRH University of Health,Logopädie (B.Sc.),3.6,,,,,,,https://www.studycheck.de/studium/logopaedie/gera-fh-804
SRH University of Health,Medical and Health Education (MA),4.1,,Summer & winter semester,Master of Arts,German,,"Gera, Leverkusen",https://www.studycheck.de/studium/medizinpaedagogik/gera-fh-18911
SRH University of Health,Medical Nutrition Science and Nutritional Therapy (M.Sc.),4.6,4 semesters,Winter semester,Master of Science,German,"13,650 €¹","Cologne, Leipzig",https://www.studycheck.de/studium/ernaehrungsmedizin/gera-fh-31774
SRH University of Health,Medical Education (BA),4.3,,Summer & winter semester,Bachelor of Arts,German,,Gera,https://www.studycheck.de/studium/medizinpaedagogik/gera-fh-3886
SRH University of Health,Neurorehabilitation (M.Sc.),,6 semesters,Summer semester,Master of Science,German,"13,050 €¹",Gera,https://www.studycheck.de/studium/neurorehabilitation/gera-fh-10263
SRH University of Health,Nursing (B.Sc.),3.7,6 semesters,Winter semester,Bachelor of Science,German,"18,450 €¹","Bamberg, Gera",https://www.studycheck.de/studium/pflegewissenschaften/gera-fh-26236
SRH University of Health,Physician Assistant (B.Sc.),4.0,6 semesters,Winter semester,Bachelor of Science,German,"19,800 €¹",pagan,https://www.studycheck.de/studium/gesundheitsfachberufe/gera-fh-23841
SRH University of Health,Physician Assistant – Outpatient Care (M.Sc.),,4 semesters,Winter semester,Master of Science,German,"14,610 €¹",pagan,https://www.studycheck.de/studium/gesundheit-und-pflege/gera-fh-31776
SRH University of Health,Physician Assistant – Clinical Emergency Medicine (M.Sc.),,4 semesters,Winter semester,Master of Science,German,"14,610 €¹",pagan,https://www.studycheck.de/studium/gesundheit-und-pflege/gera-fh-31777
SRH University of Health,Physiotherapy (B.Sc.),3.5,7 semesters,Summer & winter semester,Bachelor of Science,German,,"Karlsruhe, Leverkusen, Stuttgart",https://www.studycheck.de/studium/physiotherapie/gera-fh-16669
SRH University of Health,Physiotherapy (M.Sc.),,4 semesters,Winter semester,Master of Science,German,"16,560 €¹",Karlsruhe,https://www.studycheck.de/studium/physiotherapie/gera-fh-33078
SRH University of Health,Psychology (B.Sc.),3.3,,,,,,,https://www.studycheck.de/studium/psychologie/gera-fh-528
SRH University of Health,Psychology (M.Sc.),4.1,4 semesters,Winter semester,Master of Science,German,"13,650 €¹",Gera,https://www.studycheck.de/studium/psychische-gesundheit-und-psychotherapie/gera-fh-18339
SRH University of Health,Social Work (BA),4.4,4 semesters,Summer & winter semester,Bachelor of Arts,German,"11,250 €¹",Gera,https://www.studycheck.de/studium/soziale-arbeit/gera-fh-21179
SRH University of Health,Systemic Consulting and Management (MA),,4 semesters,Winter semester,Master of Arts,German,"12,210 €¹",Gera,https://www.studycheck.de/studium/management-und-beratung/gera-fh-31775
PFH – Private University of Göttingen,Labor Law and HRM (LL.M.),4.5,3 semesters,Winter semester,Master of Laws,German,"16,800 €¹",Goettingen,https://www.studycheck.de/studium/betriebswirtschaftslehre-bwl-recht/pfh-goettingen-30713
PFH – Private University of Göttingen,Business Administration (B.Sc.),4.1,6 semesters,Winter semester,Bachelor of Science,German,"28,500 €¹","Göttingen, Stade",https://www.studycheck.de/studium/business-administration/pfh-goettingen-5512
PFH – Private University of Göttingen,Digital Marketing & Sales (B.Sc.),,6 semesters,Winter semester,Bachelor of Science,German,"28,500 €¹",Goettingen,https://www.studycheck.de/studium/digital-marketing/pfh-goettingen-31951
PFH – Private University of Göttingen,Digitalization and Automation (M.Sc.),,4 semesters,Winter semester,Master of Science,English,"23,100 €¹",Stade,https://www.studycheck.de/studium/it-und-automation/pfh-goettingen-30714
PFH – Private University of Göttingen,Entrepreneurship & Start-up Creation (B.Sc.),,6 semesters,Winter semester,Bachelor of Science,German,"28,500 €¹",Goettingen,https://www.studycheck.de/studium/entrepreneurship/pfh-goettingen-31952
PFH – Private University of Göttingen,General Management (BWL) (B.Sc.),3.9,6 semesters,Winter semester,Bachelor of Science,German,"28,500 €¹",Goettingen,https://www.studycheck.de/studium/general-management/pfh-goettingen-14505
PFH – Private University of Göttingen,General Management (M.Sc.),3.5,3 semesters,Summer & winter semester,Master of Science,German English,"17,300 €¹",Goettingen,https://www.studycheck.de/studium/general-management/pfh-goettingen-6677
PFH – Private University of Göttingen,Industrial Engineering (M.Sc.),,4 semesters,Winter semester,Master of Science,English,"23,100 €¹",Stade,https://www.studycheck.de/studium/industrial-engineering/pfh-goettingen-30715
PFH – Private University of Göttingen,Lightweight Engineering & Composites (M.Sc.),,3 semesters,Winter semester,Master of Science,German,"19,320 €¹",Stade,https://www.studycheck.de/studium/engineering/pfh-goettingen-30716
PFH – Private University of Göttingen,Master of Business Administration (MBA),,3 semesters,Summer & winter semester,Master of Business Administration,English,"19,820 €¹",Goettingen,https://www.studycheck.de/studium/master-of-business-administration-mba/pfh-goettingen-31954
PFH – Private University of Göttingen,New Mobility - Micromobility (M.Sc.),4.0,4 semesters,Winter semester,Master of Science,English,"23,100 €¹",Stade,https://www.studycheck.de/studium/mobilitaetsmanagement/pfh-goettingen-30717
PFH – Private University of Göttingen,Psychology (B.Sc.),3.8,6 semesters,Winter semester,Bachelor of Science,German,"28,500 €¹",Goettingen,https://www.studycheck.de/studium/psychologie/pfh-goettingen-18745
PFH – Private University of Göttingen,Psychology (M.Sc.),3.8,4 semesters,Winter semester,Master of Science,German,"21,900 €¹",Goettingen,https://www.studycheck.de/studium/psychologie/pfh-goettingen-18746
PFH – Private University of Göttingen,User Experience Management & Design (M.Sc.),,3 semesters,Summer & winter semester,Master of Science,English,"16,800 €¹",Goettingen,https://www.studycheck.de/studium/management/pfh-goettingen-26532
PFH – Private University of Göttingen,Business Information Technology (dual) (B.Sc.),3.5,6 semesters,Winter semester,Bachelor of Science,German,,Goettingen,https://www.studycheck.de/studium/wirtschaftsinformatik/pfh-goettingen-25269
PFH – Private University of Göttingen,Business Psychology (B.Sc.),4.0,6 semesters,Winter semester,Bachelor of Science,German,,Goettingen,https://www.studycheck.de/studium/wirtschaftspsychologie/pfh-goettingen-18747
PFH – Private University of Göttingen,Business Psychology (M.Sc.),2.4,4 semesters,Winter semester,Master of Science,German,"21,900 €¹",Goettingen,https://www.studycheck.de/studium/wirtschaftspsychologie/pfh-goettingen-18748
PFH – Private University of Göttingen,Business Law (LL.B.),4.3,6 semesters,Winter semester,Bachelor of Laws,German,"28,500 €¹",Goettingen,https://www.studycheck.de/studium/wirtschaftsrecht/pfh-goettingen-30712
HBC - Biberach University of Applied Sciences,Applied Biotechnology (B.Sc.),3.7,,,,,,,https://www.studycheck.de/studium/biotechnologie/hbc-biberach-787
HBC - Biberach University of Applied Sciences,Architecture (BA),3.9,,Summer & winter semester,Bachelor of Arts,German,,Biberach an der Riss,https://www.studycheck.de/studium/architektur/hbc-biberach-12138
HBC - Biberach University of Applied Sciences,Construction Project Management / Civil Engineering (B.Eng.),4.0,7 semesters,Winter semester,Bachelor of Engineering,German,,Biberach an der Riss,https://www.studycheck.de/studium/projektmanagement-bau/hbc-biberach-13825
HBC - Biberach University of Applied Sciences,Civil Engineering (B.Eng.),3.8,,Summer & winter semester,Bachelor of Engineering,German,,Biberach an der Riss,https://www.studycheck.de/studium/bauingenieurwesen/hbc-biberach-15559
HBC - Biberach University of Applied Sciences,Civil Engineering (M.Eng.),4.1,3 semesters,Summer & winter semester,Master of Engineering,German,,Biberach an der Riss,https://www.studycheck.de/studium/bauingenieurwesen/hbc-biberach-775
HBC - Biberach University of Applied Sciences,Business Administration (Construction and Real Estate) (M.Sc.),4.2,3 semesters,Summer & winter semester,Master of Science,German,,Biberach an der Riss,https://www.studycheck.de/studium/betriebswirtschaft-bau-und-immobilien/hbc-biberach-101
HBC - Biberach University of Applied Sciences,Business Administration (Energy Management) (M.Sc.),4.8,3 semesters,Summer & winter semester,Master of Science,German,,Biberach an der Riss,https://www.studycheck.de/studium/betriebswirtschaftslehre-bwl/hbc-biberach-19862
HBC - Biberach University of Applied Sciences,Business Administration (B.Sc.),3.7,,Summer & winter semester,,,,Biberach an der Riss,https://www.studycheck.de/studium/betriebswirtschaftslehre-bwl/hbc-biberach-26304
HBC - Biberach University of Applied Sciences,Business Administration - Focus: PLUS (Construction and Real Estate) (B.Sc.),,,Summer & winter semester,,,,Biberach an der Riss,https://www.studycheck.de/studium/betriebswirtschaftslehre-bwl/hbc-biberach-32281
HBC - Biberach University of Applied Sciences,Business Administration: Focus on Construction and Real Estate (B.Sc.),4.1,,Summer & winter semester,,,,Biberach an der Riss,https://www.studycheck.de/studium/betriebswirtschaftslehre-bwl/hbc-biberach-32279
HBC - Biberach University of Applied Sciences,Business Administration: Focus on Energy Economics (B.Sc.),4.3,,Summer & winter semester,,,,Biberach an der Riss,https://www.studycheck.de/studium/betriebswirtschaftslehre-bwl/hbc-biberach-32277
HBC - Biberach University of Applied Sciences,Business Administration: Focus on International Management (B.Sc.),,,Summer & winter semester,,,,Biberach an der Riss,https://www.studycheck.de/studium/betriebswirtschaftslehre-bwl/hbc-biberach-32332
HBC - Biberach University of Applied Sciences,Business Administration: Focus on Corporate Management (B.Sc.),4.0,,Summer & winter semester,,,,Biberach an der Riss,https://www.studycheck.de/studium/betriebswirtschaftslehre-bwl-unternehmensfuehrung/hbc-biberach-32280
HBC - Biberach University of Applied Sciences,Energy and Building Systems (M.Sc.),4.6,3 semesters,Summer & winter semester,Master of Science,German,,Biberach an der Riss,https://www.studycheck.de/studium/energiesysteme/hbc-biberach-19860
HBC - Biberach University of Applied Sciences,Energy Engineering (B.Eng.),4.0,,,,,,,https://www.studycheck.de/studium/allgemeine-ingenieurwissenschaft/hbc-biberach-19736
HBC - Biberach University of Applied Sciences,Engineering Management (M.Eng.),4.8,3 semesters,Summer & winter semester,Master of Engineering,"German, Spanish",,Biberach an der Riss,https://www.studycheck.de/studium/engineering-management/hbc-biberach-19861
HBC - Biberach University of Applied Sciences,Timber Engineering (M.Eng.),4.4,,Summer & winter semester,,,,Biberach an der Riss,https://www.studycheck.de/studium/holzbau-und-holztechnik/hbc-biberach-32117
HBC - Biberach University of Applied Sciences,Timber Construction Project Management (B.Eng.),3.8,7 semesters,Winter semester,Bachelor of Engineering,German,,Biberach an der Riss,https://www.studycheck.de/studium/projektmanagement-bau/hbc-biberach-24791
HBC - Biberach University of Applied Sciences,Pharmaceutical Biotechnology (B.Sc.),3.7,,,,,,,https://www.studycheck.de/studium/pharmazeutische-biotechnologie/hbc-biberach-3116
HBC - Biberach University of Applied Sciences,Project Management (Construction) (M.Eng.),4.0,3 semesters,Summer & winter semester,Master of Engineering,German,,Biberach an der Riss,https://www.studycheck.de/studium/projektmanagement-bau/hbc-biberach-11810
HBC - Biberach University of Applied Sciences,Resource-efficient architecture (M.Sc.),3.9,2 semesters,Summer & winter semester,Master of Science,German,,Biberach an der Riss,https://www.studycheck.de/studium/architektur/hbc-biberach-11509
Albstadt-Sigmaringen University of Applied Sciences,Advanced IT Security (M.Sc.),3.7,3 semesters,Summer & winter semester,Master of Science,German English,,Albstadt,https://www.studycheck.de/studium/it-sicherheit/hs-albsig-31043
Albstadt-Sigmaringen University of Applied Sciences,Applied Biology – Food and Pharma (B.Sc.),4.4,,,,,,,https://www.studycheck.de/studium/biologie/hs-albsig-30212
Albstadt-Sigmaringen University of Applied Sciences,Business Administration (B.Sc.),4.2,,,,,,,https://www.studycheck.de/studium/betriebswirtschaftslehre-bwl/hs-albsig-15578
Albstadt-Sigmaringen University of Applied Sciences,Business Administration and Management (M.Sc.),4.2,3 semesters,Summer & winter semester,Master of Science,German,,Sigmaringen,https://www.studycheck.de/studium/betriebswirtschaftslehre-bwl-management/hs-albsig-5910
Albstadt-Sigmaringen University of Applied Sciences,Bioanalytics (B.Sc.),4.3,,,,,,,https://www.studycheck.de/studium/bioanalytik/hs-albsig-22020
Albstadt-Sigmaringen University of Applied Sciences,Biomedical Sciences (M.Sc.),4.4,3 semesters,Summer & winter semester,Master of Science,German,,Sigmaringen,https://www.studycheck.de/studium/biomedical-sciences/hs-albsig-10921
Albstadt-Sigmaringen University of Applied Sciences,Business and Security Analytics (M.Sc.),5.0,3 semesters,Summer & winter semester,Master of Science,German,,Albstadt,https://www.studycheck.de/studium/business-communication/hs-albsig-20603
Albstadt-Sigmaringen University of Applied Sciences,Data Engineering and Consulting (M.Sc.),4.4,,,,,,,https://www.studycheck.de/studium/data-web-engineering/hs-albsig-25911
Albstadt-Sigmaringen University of Applied Sciences,Digital Business & Management (M.Sc.),4.4,3 semesters,Summer & winter semester,Master of Science,German,,Sigmaringen,https://www.studycheck.de/studium/business-innovation/hs-albsig-25513
Albstadt-Sigmaringen University of Applied Sciences,Digital Energy & Business (M.Sc.),4.2,3 semesters,Summer & winter semester,Master of Science,German,,Sigmaringen,https://www.studycheck.de/studium/business-innovation/hs-albsig-25514
Albstadt-Sigmaringen University of Applied Sciences,Digital Technology and Consulting (B.Sc.),4.0,,Sommer- & Wintersemester,,German,,,https://www.studycheck.de/studium/informationstechnologie/hs-albsig-25910
Albstadt-Sigmaringen University of Applied Sciences,Energy Economics and Management (B.Sc.),4.3,,,,,,,https://www.studycheck.de/studium/energiewirtschaft/hs-albsig-19365
Albstadt-Sigmaringen University of Applied Sciences,IT Security (B.Sc.),3.9,,,,,,,https://www.studycheck.de/studium/it-sicherheit/hs-albsig-20587
Albstadt-Sigmaringen University of Applied Sciences,"Food, Nutrition, Hygiene (B.Sc.)",4.1,,,,,,,https://www.studycheck.de/studium/lebensmittel-ernaehrung-hygiene/hs-albsig-4765
Albstadt-Sigmaringen University of Applied Sciences,Life Science Engineering (M.Eng.),,,Summer & winter semester,"Master of Engineering
                                                                    Degree is awarded by: Albstadt-Sigmaringen University",German,,Sigmaringen,https://www.studycheck.de/studium/lebenswissenschaft/hs-albsig-32617
Albstadt-Sigmaringen University of Applied Sciences,Life Science Innovation (M.Sc.),,,Summer & winter semester,"Master of Science
                                                                    Degree is awarded by: Albstadt-Sigmaringen University",English,,Sigmaringen,https://www.studycheck.de/studium/lebenswissenschaft/hs-albsig-32618
Albstadt-Sigmaringen University of Applied Sciences,Mechanical Engineering (B.Eng.),4.4,,Sommer- & Wintersemester,,German,,,https://www.studycheck.de/studium/maschinenbau/hs-albsig-12078
Albstadt-Sigmaringen University of Applied Sciences,Mechanical Engineering - Computer Aided Product Design (M.Eng.),4.4,3 semesters,Summer & winter semester,Master of Engineering,German,,Albstadt,https://www.studycheck.de/studium/maschinenbau-rechnerunterstuetzte-produkterstellung/hs-albsig-597
Albstadt-Sigmaringen University of Applied Sciences,Pharmaceutical Engineering (B.Sc.),4.0,,,,,,,https://www.studycheck.de/studium/pharmatechnik/hs-albsig-15792
Albstadt-Sigmaringen University of Applied Sciences,Smart Building Engineering and Management (B.Sc.),4.2,,,,,,,https://www.studycheck.de/studium/gebaeudetechnik/hs-albsig-23956
Albstadt-Sigmaringen University of Applied Sciences,Sustainability Studies (M.Sc.),,3 semesters,Summer & winter semester,Master of Science,English,,Sigmaringen,https://www.studycheck.de/studium/nachhaltigkeitswissenschaft-sustainability-science/hs-albsig-32994
Albstadt-Sigmaringen University of Applied Sciences,Sustainable Engineering - Sustainable Products and Processes (B.Eng.),,,Summer & winter semester,,German English,,Albstadt,https://www.studycheck.de/studium/nachhaltige-prozessverfahrenstechnik/hs-albsig-25926
Albstadt-Sigmaringen University of Applied Sciences,Systems Engineering (M.Eng.),4.6,3 semesters,Summer & winter semester,Master of Engineering,German,,Albstadt,https://www.studycheck.de/studium/systems-engineering/hs-albsig-5911
Albstadt-Sigmaringen University of Applied Sciences,Computer Engineering (B.Eng.),4.0,,,,,,,https://www.studycheck.de/studium/technische-informatik/hs-albsig-20588
Albstadt-Sigmaringen University of Applied Sciences,Textile and Clothing Management (M.Sc.),2.8,3 semesters,Summer & winter semester,Master of Science,German,,Albstadt,https://www.studycheck.de/studium/management/hs-albsig-6134
Albstadt-Sigmaringen University of Applied Sciences,Textile and Clothing Technology (B.Eng.),4.4,,Summer & winter semester,,German,,Albstadt,https://www.studycheck.de/studium/textile-produkttechnologie/hs-albsig-12799
Albstadt-Sigmaringen University of Applied Sciences,Materials and Process Engineering (B.Eng.),5.0,7 semesters,Summer & winter semester,Bachelor of Engineering,German,,Albstadt,https://www.studycheck.de/studium/werkstofftechnik/hs-albsig-25511
Albstadt-Sigmaringen University of Applied Sciences,Business Information Systems (B.Sc.),3.8,,Summer & winter semester,,German,,Albstadt,https://www.studycheck.de/studium/wirtschaftsinformatik/hs-albsig-11856
Albstadt-Sigmaringen University of Applied Sciences,Industrial Engineering (B.Sc.),4.3,,,,,,,https://www.studycheck.de/studium/wirtschaftsingenieurwesen/hs-albsig-15970
Albstadt-Sigmaringen University of Applied Sciences,Industrial Engineering - Digital Production Management (M.Sc.),4.4,,,,,,,https://www.studycheck.de/studium/wirtschaftsingenieurwesen/hs-albsig-5912
UMCH | University Medicine Neumarkt AM Campus Hamburg,Human Medicine (Diploma),3.8,,,,,,,https://www.studycheck.de/studium/humanmedizin/umch-hamburg-24593
Wismar University of Applied Sciences,Applied Computer Science (M.Sc.),4.3,3 semesters,Summer & winter semester,Master of Science,German,,Wismar,https://www.studycheck.de/studium/angewandte-informatik/hs-wismar-22112
Wismar University of Applied Sciences,Applied Computer Science – Multimedia Technology (B.Sc.),4.3,7 semesters,Winter semester,Bachelor of Science,German,,Wismar,https://www.studycheck.de/studium/angewandte-informatik/hs-wismar-22111
Wismar University of Applied Sciences,Applied Medical Technology (B.Sc.),,7 semesters,Winter semester,Bachelor of Science,German,,Wismar,https://www.studycheck.de/studium/medizintechnik/hs-wismar-32956
